POLLING PLACE LOCATION,POLLING PLACE ADDRESS,BLDG,PARK,ZIP,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,,,City,State,County,Zip,Country,Source
FAIRVIEW ARMS APARTMENTS,5219 WYNNEFIELD AVE,R,L,19131,39.991847,-75.229963,1,range_interpolation,5219,Wynnefield Ave,,,Philadelphia,PA,Philadelphia County,19131,US,TIGER/Line® dataset from the US Census Bureau
BRYN MAWR SUITES,5100 LEBANON AVE,R,L,19131,39.988734,-75.227032,1,rooftop,5100,Lebanon Ave,,,Philadelphia,PA,Philadelphia County,19131,US,Philadelphia
ST BARBARA'S CHURCH,5359 LEBANON AVE,A,H,19131,39.987759,-75.231381,1,range_interpolation,5359,Lebanon Ave,,,Philadelphia,PA,Philadelphia County,19131,US,TIGER/Line® dataset from the US Census Bureau
PINN MEMORIAL BAPTIST CHURCH,2251 N 54TH ST,M,L,19131,39.990347,-75.233264,1,range_interpolation,2251,N 54th St,,,Philadelphia,PA,Philadelphia County,19131,US,TIGER/Line® dataset from the US Census Bureau
BEEBER MIDDLE SCHOOL,5925 MALVERN AVE,M,L,19131,39.986154,-75.24194,1,range_interpolation,5925,Malvern Ave,,,Philadelphia,PA,Philadelphia County,19131,US,TIGER/Line® dataset from the US Census Bureau
PARKSIDE EVANS RECREATION CENTER,5300 PARKSIDE AVE,F,L,19131,39.982396,-75.227109,0.88,nearest_rooftop_match,5282,Parkside Ave,,,Philadelphia,PA,Philadelphia County,19131,US,Philadelphia
WYNNEFIELD PLACE,1717 N 54TH ST,F,H,19131,39.983302,-75.230409,0.99,rooftop,1717-25,N 54th St,,,Philadelphia,PA,Philadelphia County,19131,US,Philadelphia
WYNNEFIELD PLACE,1717 N 54TH ST,F,H,19131,39.983302,-75.230409,0.99,rooftop,1717-25,N 54th St,,,Philadelphia,PA,Philadelphia County,19131,US,Philadelphia
UNITED CHRISTIAN MISSION CHURCH,5358 W COLUMBIA AVE,M,N,19131,39.982414,-75.230449,1,rooftop,5358,W Columbia Ave,,,Philadelphia,PA,Philadelphia County,19131,US,Philadelphia
CHURCH OFFICE,5478 ARLINGTON ST,M,N,19131,39.985866,-75.234599,1,rooftop,5478,Arlington St,,,Philadelphia,PA,Philadelphia County,19131,US,Philadelphia
BEEBER MIDDLE SCHOOL,5925 MALVERN AVE,M,L,19131,39.986154,-75.24194,1,range_interpolation,5925,Malvern Ave,,,Philadelphia,PA,Philadelphia County,19131,US,TIGER/Line® dataset from the US Census Bureau
BEEBER MIDDLE SCHOOL,5925 MALVERN AVE,M,L,19131,39.986154,-75.24194,1,range_interpolation,5925,Malvern Ave,,,Philadelphia,PA,Philadelphia County,19131,US,TIGER/Line® dataset from the US Census Bureau
BRITH SHOLOM HOUSE,3939 CONSHOHOCKEN AVE,F,L,19131,40.003215,-75.208337,1,rooftop,3939,Conshohocken Ave,,,Philadelphia,PA,Philadelphia County,19131,US,Philadelphia
CARNELL LITTLE SCHOOLHOUSE,1100 DEVEREAUX AVE,R,N,19111,40.039349,-75.084412,1,range_interpolation,1100,Devereaux Ave,,,Philadelphia,PA,Philadelphia County,19111,US,TIGER/Line® dataset from the US Census Bureau
CARNELL LITTLE SCHOOLHOUSE,1100 DEVEREAUX AVE,R,N,19111,40.039349,-75.084412,1,range_interpolation,1100,Devereaux Ave,,,Philadelphia,PA,Philadelphia County,19111,US,TIGER/Line® dataset from the US Census Bureau
CARNELL LITTLE SCHOOLHOUSE,1100 DEVEREAUX AVE,R,N,19111,40.039349,-75.084412,1,range_interpolation,1100,Devereaux Ave,,,Philadelphia,PA,Philadelphia County,19111,US,TIGER/Line® dataset from the US Census Bureau
TARKEN RECREATION CENTER,6250 FRONTENAC ST,M,L,19111,40.040931,-75.082528,1,rooftop,6250,Frontenac St,,,Philadelphia,PA,Philadelphia County,19111,US,Philadelphia
CARNELL LITTLE SCHOOLHOUSE,1100 DEVEREAUX AVE,R,N,19111,40.039349,-75.084412,1,range_interpolation,1100,Devereaux Ave,,,Philadelphia,PA,Philadelphia County,19111,US,TIGER/Line® dataset from the US Census Bureau
TARKEN RECREATION CENTER,6250 FRONTENAC ST,M,L,19111,40.040931,-75.082528,1,rooftop,6250,Frontenac St,,,Philadelphia,PA,Philadelphia County,19111,US,Philadelphia
TARKEN RECREATION CENTER,6250 FRONTENAC ST,M,L,19111,40.040931,-75.082528,1,rooftop,6250,Frontenac St,,,Philadelphia,PA,Philadelphia County,19111,US,Philadelphia
TARKEN RECREATION CENTER,6250 FRONTENAC ST,M,L,19111,40.040931,-75.082528,1,rooftop,6250,Frontenac St,,,Philadelphia,PA,Philadelphia County,19111,US,Philadelphia
ST THOMAS INDIAN ORTHODOX CHURCH,1009 UNRUH AVE,M,L,19111,40.047775,-75.08157,1,rooftop,1009,Unruh Ave,,,Philadelphia,PA,Philadelphia County,19111,US,Philadelphia
BUSHROD LIBRARY,6304 CASTOR AVE,F,N,19149,40.038645,-75.078607,1,rooftop,6304,Castor Ave,,,Philadelphia,PA,Philadelphia County,19149,US,Philadelphia
ST THOMAS INDIAN ORTHODOX CHURCH,1009 UNRUH AVE,M,L,19111,40.047775,-75.08157,1,rooftop,1009,Unruh Ave,,,Philadelphia,PA,Philadelphia County,19111,US,Philadelphia
ST THOMAS INDIAN ORTHODOX CHURCH,1009 UNRUH AVE,M,L,19111,40.047775,-75.08157,1,rooftop,1009,Unruh Ave,,,Philadelphia,PA,Philadelphia County,19111,US,Philadelphia
HAMPTON MOORE SCHOOL,6900 SUMMERDALE AVE,F,L,19111,40.048782,-75.076839,1,range_interpolation,6900,Summerdale Ave,,,Philadelphia,PA,Philadelphia County,19111,US,TIGER/Line® dataset from the US Census Bureau
HAMPTON MOORE SCHOOL,6900 SUMMERDALE AVE,F,L,19111,40.048782,-75.076839,1,range_interpolation,6900,Summerdale Ave,,,Philadelphia,PA,Philadelphia County,19111,US,TIGER/Line® dataset from the US Census Bureau
ST THOMAS INDIAN ORTHODOX CHURCH,1009 UNRUH AVE,M,L,19111,40.047775,-75.08157,1,rooftop,1009,Unruh Ave,,,Philadelphia,PA,Philadelphia County,19111,US,Philadelphia
HAMPTON MOORE SCHOOL,6900 SUMMERDALE AVE,F,L,19111,40.048782,-75.076839,1,range_interpolation,6900,Summerdale Ave,,,Philadelphia,PA,Philadelphia County,19111,US,TIGER/Line® dataset from the US Census Bureau
WILSON SCHOOL,1800 COTTMAN AVE,M,L,19111,40.052359,-75.069082,1,rooftop,1800,Cottman Ave,,,Philadelphia,PA,Philadelphia County,19111,US,Philadelphia
WILSON SCHOOL,1800 COTTMAN AVE,M,L,19111,40.052359,-75.069082,1,rooftop,1800,Cottman Ave,,,Philadelphia,PA,Philadelphia County,19111,US,Philadelphia
HAMPTON MOORE SCHOOL,6900 SUMMERDALE AVE,F,L,19111,40.048782,-75.076839,1,range_interpolation,6900,Summerdale Ave,,,Philadelphia,PA,Philadelphia County,19111,US,TIGER/Line® dataset from the US Census Bureau
JARDEL RECREATION CENTER(REAR),1400 COTTMAN AVE,M,L,19111,40.055825,-75.076838,1,rooftop,1400,Cottman Ave,,,Philadelphia,PA,Philadelphia County,19111,US,Philadelphia
UNITED METHODIST CHURCH OF REDEEMER,1128 COTTMAN AVE,M,L,19111,40.059869,-75.081437,1,range_interpolation,1128,Cottman Ave,,,Philadelphia,PA,Philadelphia County,19111,US,TIGER/Line® dataset from the US Census Bureau
HAMPTON MOORE SCHOOL,6900 SUMMERDALE AVE,F,L,19111,40.048782,-75.076839,1,range_interpolation,6900,Summerdale Ave,,,Philadelphia,PA,Philadelphia County,19111,US,TIGER/Line® dataset from the US Census Bureau
ST THOMAS INDIAN ORTHODOX CHURCH,1009 UNRUH AVE,M,L,19111,40.047775,-75.08157,1,rooftop,1009,Unruh Ave,,,Philadelphia,PA,Philadelphia County,19111,US,Philadelphia
SPRUANCE LITTLE SCHOOLHOUSE,6401 HORROCKS ST,M,L,19149,40.037148,-75.07355,1,range_interpolation,6401,Horrocks St,,,Philadelphia,PA,Philadelphia County,19149,US,TIGER/Line® dataset from the US Census Bureau
SPRUANCE LITTLE SCHOOLHOUSE,6401 HORROCKS ST,M,L,19149,40.037148,-75.07355,1,range_interpolation,6401,Horrocks St,,,Philadelphia,PA,Philadelphia County,19149,US,TIGER/Line® dataset from the US Census Bureau
SPRUANCE LITTLE SCHOOLHOUSE,6401 HORROCKS ST,M,L,19149,40.037148,-75.07355,1,range_interpolation,6401,Horrocks St,,,Philadelphia,PA,Philadelphia County,19149,US,TIGER/Line® dataset from the US Census Bureau
MAX MYERS RECREATION CENTER,1601 HELLERMAN ST,A,L,19149,40.038302,-75.070251,1,rooftop,1601,Hellerman St,,,Philadelphia,PA,Philadelphia County,19149,US,Philadelphia
SPRUANCE LITTLE SCHOOLHOUSE,6401 HORROCKS ST,M,L,19149,40.037148,-75.07355,1,range_interpolation,6401,Horrocks St,,,Philadelphia,PA,Philadelphia County,19149,US,TIGER/Line® dataset from the US Census Bureau
GREEK ORTHODOX CHURCH (NORTHEAST),6501 BUSTLETON AVE,B,L,19149,40.036724,-75.068809,1,rooftop,6501,Bustleton Ave,,,Philadelphia,PA,Philadelphia County,19149,US,Philadelphia
GREEK ORTHODOX CHURCH (NORTHEAST),6501 BUSTLETON AVE,B,L,19149,40.036724,-75.068809,1,rooftop,6501,Bustleton Ave,,,Philadelphia,PA,Philadelphia County,19149,US,Philadelphia
SOLIS COHEN SCHOOL,7001 HORROCKS ST,F,L,19149,40.04459,-75.066547,1,range_interpolation,7001,Horrocks St,,,Philadelphia,PA,Philadelphia County,19149,US,TIGER/Line® dataset from the US Census Bureau
MAX MYERS RECREATION CENTER,1601 HELLERMAN ST,A,L,19149,40.038302,-75.070251,1,rooftop,1601,Hellerman St,,,Philadelphia,PA,Philadelphia County,19149,US,Philadelphia
GREEK ORTHODOX CHURCH (NORTHEAST),6501 BUSTLETON AVE,B,L,19149,40.036724,-75.068809,1,rooftop,6501,Bustleton Ave,,,Philadelphia,PA,Philadelphia County,19149,US,Philadelphia
GREEK ORTHODOX CHURCH (NORTHEAST),6501 BUSTLETON AVE,B,L,19149,40.036724,-75.068809,1,rooftop,6501,Bustleton Ave,,,Philadelphia,PA,Philadelphia County,19149,US,Philadelphia
GREEK ORTHODOX CHURCH (NORTHEAST),6501 BUSTLETON AVE,B,L,19149,40.036724,-75.068809,1,rooftop,6501,Bustleton Ave,,,Philadelphia,PA,Philadelphia County,19149,US,Philadelphia
MAX MYERS RECREATION CENTER,1601 HELLERMAN ST,A,L,19149,40.038302,-75.070251,1,rooftop,1601,Hellerman St,,,Philadelphia,PA,Philadelphia County,19149,US,Philadelphia
SOLIS COHEN SCHOOL,7001 HORROCKS ST,F,L,19149,40.04459,-75.066547,1,range_interpolation,7001,Horrocks St,,,Philadelphia,PA,Philadelphia County,19149,US,TIGER/Line® dataset from the US Census Bureau
SOLIS COHEN SCHOOL,7001 HORROCKS ST,F,L,19149,40.04459,-75.066547,1,range_interpolation,7001,Horrocks St,,,Philadelphia,PA,Philadelphia County,19149,US,TIGER/Line® dataset from the US Census Bureau
SOLIS COHEN SCHOOL,7001 HORROCKS ST,F,L,19149,40.04459,-75.066547,1,range_interpolation,7001,Horrocks St,,,Philadelphia,PA,Philadelphia County,19149,US,TIGER/Line® dataset from the US Census Bureau
SOLIS COHEN SCHOOL,7001 HORROCKS ST,F,L,19149,40.04459,-75.066547,1,range_interpolation,7001,Horrocks St,,,Philadelphia,PA,Philadelphia County,19149,US,TIGER/Line® dataset from the US Census Bureau
SOLIS COHEN SCHOOL,7001 HORROCKS ST,F,L,19149,40.04459,-75.066547,1,range_interpolation,7001,Horrocks St,,,Philadelphia,PA,Philadelphia County,19149,US,TIGER/Line® dataset from the US Census Bureau
SOLIS COHEN SCHOOL,7001 HORROCKS ST,F,L,19149,40.04459,-75.066547,1,range_interpolation,7001,Horrocks St,,,Philadelphia,PA,Philadelphia County,19149,US,TIGER/Line® dataset from the US Census Bureau
SOLIS COHEN SCHOOL,7001 HORROCKS ST,F,L,19149,40.04459,-75.066547,1,range_interpolation,7001,Horrocks St,,,Philadelphia,PA,Philadelphia County,19149,US,TIGER/Line® dataset from the US Census Bureau
SOLIS COHEN SCHOOL,7001 HORROCKS ST,F,L,19149,40.04459,-75.066547,1,range_interpolation,7001,Horrocks St,,,Philadelphia,PA,Philadelphia County,19149,US,TIGER/Line® dataset from the US Census Bureau
SOLIS COHEN SCHOOL,7001 HORROCKS ST,F,L,19149,40.04459,-75.066547,1,range_interpolation,7001,Horrocks St,,,Philadelphia,PA,Philadelphia County,19149,US,TIGER/Line® dataset from the US Census Bureau
LAWTON SCHOOL,6101 JACKSON ST,F,L,19135,40.020436,-75.05946,1,range_interpolation,6101,Jackson St,,,Philadelphia,PA,Philadelphia County,19135,US,TIGER/Line® dataset from the US Census Bureau
LAWTON SCHOOL,6101 JACKSON ST,F,L,19135,40.020436,-75.05946,1,range_interpolation,6101,Jackson St,,,Philadelphia,PA,Philadelphia County,19135,US,TIGER/Line® dataset from the US Census Bureau
OLD DEVON THEATRE STORE # 2,6325 FRANKFORD AVE,M,N,19135,40.027864,-75.058739,0.99,rooftop,6325-43,Frankford Ave,,,Philadelphia,PA,Philadelphia County,19135,US,Philadelphia
ROOSEVELT RECREATION CENTER,6455 WALKER ST,F,L,19135,40.026072,-75.054403,1,range_interpolation,6455,Walker St,,,Philadelphia,PA,Philadelphia County,19135,US,TIGER/Line® dataset from the US Census Bureau
ROOSEVELT RECREATION CENTER,6455 WALKER ST,F,L,19135,40.026072,-75.054403,1,range_interpolation,6455,Walker St,,,Philadelphia,PA,Philadelphia County,19135,US,TIGER/Line® dataset from the US Census Bureau
OLD DEVON THEATRE STORE # 2,6325 FRANKFORD AVE,M,N,19135,40.027864,-75.058739,0.99,rooftop,6325-43,Frankford Ave,,,Philadelphia,PA,Philadelphia County,19135,US,Philadelphia
ROOSEVELT RECREATION CENTER,6455 WALKER ST,F,L,19135,40.026072,-75.054403,1,range_interpolation,6455,Walker St,,,Philadelphia,PA,Philadelphia County,19135,US,TIGER/Line® dataset from the US Census Bureau
HAIR SALON [50 SHADES OF GRAY],3201 MAGEE AVE,B,N,19149,40.031489,-75.055756,1,rooftop,3201,Magee Ave,,,Philadelphia,PA,Philadelphia County,19149,US,Philadelphia
LAW OFFICE,3200 MAGEE AVE,M,N,19149,40.031076,-75.05614,1,rooftop,3200,Magee Ave,,,Philadelphia,PA,Philadelphia County,19149,US,Philadelphia
LOWER MAYFAIR RECREATION CENTER,6300 HAWTHORNE ST,F,L,19149,40.028656,-75.061207,1,range_interpolation,6300,Hawthorne St,,,Philadelphia,PA,Philadelphia County,19149,US,TIGER/Line® dataset from the US Census Bureau
ST JOHNS LUTHERAN CHURCH,3101 TYSON AVE,M,L,19149,40.036977,-75.051973,1,rooftop,3101,Tyson Ave,,,Philadelphia,PA,Philadelphia County,19149,US,Philadelphia
ST JOHNS LUTHERAN CHURCH,3101 TYSON AVE,M,L,19149,40.036977,-75.051973,1,rooftop,3101,Tyson Ave,,,Philadelphia,PA,Philadelphia County,19149,US,Philadelphia
LAW OFFICE,3200 MAGEE AVE,M,N,19149,40.031076,-75.05614,1,rooftop,3200,Magee Ave,,,Philadelphia,PA,Philadelphia County,19149,US,Philadelphia
LOWER MAYFAIR RECREATION CENTER,6300 HAWTHORNE ST,F,L,19149,40.028656,-75.061207,1,range_interpolation,6300,Hawthorne St,,,Philadelphia,PA,Philadelphia County,19149,US,TIGER/Line® dataset from the US Census Bureau
LOWER MAYFAIR RECREATION CENTER,6300 HAWTHORNE ST,F,L,19149,40.028656,-75.061207,1,range_interpolation,6300,Hawthorne St,,,Philadelphia,PA,Philadelphia County,19149,US,TIGER/Line® dataset from the US Census Bureau
MAYFAIR SCHOOL,3001 PRINCETON AVE,A,L,19149,40.03953,-75.053445,1,range_interpolation,3001,Princeton Ave,,,Philadelphia,PA,Philadelphia County,19149,US,TIGER/Line® dataset from the US Census Bureau
MAYFAIR SCHOOL,3001 PRINCETON AVE,A,L,19149,40.03953,-75.053445,1,range_interpolation,3001,Princeton Ave,,,Philadelphia,PA,Philadelphia County,19149,US,TIGER/Line® dataset from the US Census Bureau
MAYFAIR SCHOOL,3001 PRINCETON AVE,A,L,19149,40.03953,-75.053445,1,range_interpolation,3001,Princeton Ave,,,Philadelphia,PA,Philadelphia County,19149,US,TIGER/Line® dataset from the US Census Bureau
MAYFAIR SCHOOL,3001 PRINCETON AVE,A,L,19149,40.03953,-75.053445,1,range_interpolation,3001,Princeton Ave,,,Philadelphia,PA,Philadelphia County,19149,US,TIGER/Line® dataset from the US Census Bureau
ST JOHNS LUTHERAN CHURCH,3101 TYSON AVE,M,L,19149,40.036977,-75.051973,1,rooftop,3101,Tyson Ave,,,Philadelphia,PA,Philadelphia County,19149,US,Philadelphia
CHURCH OF GRACE TO FUJIANESE,3301 WELLINGTON ST,M,L,19149,40.038517,-75.046286,1,rooftop,3301,Wellington St,,,Philadelphia,PA,Philadelphia County,19149,US,Philadelphia
CHURCH OF GRACE TO FUJIANESE,3301 WELLINGTON ST,M,L,19149,40.038517,-75.046286,1,rooftop,3301,Wellington St,,,Philadelphia,PA,Philadelphia County,19149,US,Philadelphia
CHURCH OF GRACE TO FUJIANESE,3301 WELLINGTON ST,M,L,19149,40.038517,-75.046286,1,rooftop,3301,Wellington St,,,Philadelphia,PA,Philadelphia County,19149,US,Philadelphia
CHURCH OF GRACE TO FUJIANESE,3301 WELLINGTON ST,M,L,19149,40.038517,-75.046286,1,rooftop,3301,Wellington St,,,Philadelphia,PA,Philadelphia County,19149,US,Philadelphia
VOGT RECREATION CENTER,4131 UNRUH AVE,F,L,19135,40.029216,-75.049599,1,rooftop,4131,Unruh Ave,,,Philadelphia,PA,Philadelphia County,19135,US,Philadelphia
VOGT RECREATION CENTER,4131 UNRUH AVE,F,L,19135,40.029216,-75.049599,1,rooftop,4131,Unruh Ave,,,Philadelphia,PA,Philadelphia County,19135,US,Philadelphia
VOGT RECREATION CENTER,4131 UNRUH AVE,F,L,19135,40.029216,-75.049599,1,rooftop,4131,Unruh Ave,,,Philadelphia,PA,Philadelphia County,19135,US,Philadelphia
VOGT RECREATION CENTER,4131 UNRUH AVE,F,L,19135,40.029216,-75.049599,1,rooftop,4131,Unruh Ave,,,Philadelphia,PA,Philadelphia County,19135,US,Philadelphia
VOGT RECREATION CENTER,4131 UNRUH AVE,F,L,19135,40.029216,-75.049599,1,rooftop,4131,Unruh Ave,,,Philadelphia,PA,Philadelphia County,19135,US,Philadelphia
RHAWNHURST SCHOOL,7809 CASTOR AVE,A,L,19152,40.058495,-75.057735,1,rooftop,7809,Castor Ave,,,Philadelphia,PA,Philadelphia County,19152,US,Philadelphia
RHAWNHURST SCHOOL,7809 CASTOR AVE,A,L,19152,40.058495,-75.057735,1,rooftop,7809,Castor Ave,,,Philadelphia,PA,Philadelphia County,19152,US,Philadelphia
WILSON SCHOOL,1800 COTTMAN AVE,M,L,19111,40.052359,-75.069082,1,rooftop,1800,Cottman Ave,,,Philadelphia,PA,Philadelphia County,19111,US,Philadelphia
NORTHEAST HIGH SCHOOL,1601 COTTMAN AVE,M,L,19111,40.056815,-75.069779,1,rooftop,1601,Cottman Ave,,,Philadelphia,PA,Philadelphia County,19111,US,Philadelphia
TACONY ACADEMY CHARTER SCHOOL,1330 RHAWN ST,A,L,19111,40.066842,-75.065984,1,rooftop,1330,Rhawn St,,,Philadelphia,PA,Philadelphia County,19111,US,Philadelphia
GLORIA DEI ESTATES,1304 RHAWN ST,A,L,19111,40.066861,-75.064464,1,range_interpolation,1304,Rhawn St,,,Philadelphia,PA,Philadelphia County,19111,US,TIGER/Line® dataset from the US Census Bureau
CALIBER COLLISION GARAGE-REAR,1225 COTTMAN AVE,M,L,19111,40.059024,-75.078966,0.99,rooftop,1225-33,Cottman Ave,,,Philadelphia,PA,Philadelphia County,19111,US,Philadelphia
CALIBER COLLISION GARAGE-REAR,1225 COTTMAN AVE,M,L,19111,40.059024,-75.078966,0.99,rooftop,1225-33,Cottman Ave,,,Philadelphia,PA,Philadelphia County,19111,US,Philadelphia
NORTHEAST HIGH SCHOOL,1601 COTTMAN AVE,M,L,19111,40.056815,-75.069779,1,rooftop,1601,Cottman Ave,,,Philadelphia,PA,Philadelphia County,19111,US,Philadelphia
RHAWNHURST PRESBYTERIAN CHURCH,7701 LORETTO AVE,M,L,19111,40.057911,-75.06192,0.99,rooftop,7701-17,Loretto Ave,,,Philadelphia,PA,Philadelphia County,19111,US,Philadelphia
TACONY ACADEMY CHARTER SCHOOL,1330 RHAWN ST,A,L,19111,40.066842,-75.065984,1,rooftop,1330,Rhawn St,,,Philadelphia,PA,Philadelphia County,19111,US,Philadelphia
PELBANO RECREATION CENTER,8101 BUSTLETON AVE,M,H,19152,40.061384,-75.050284,1,rooftop,8101,Bustleton Ave,,,Philadelphia,PA,Philadelphia County,19152,US,Philadelphia
RHAWNHURST SCHOOL,7809 CASTOR AVE,A,L,19152,40.058495,-75.057735,1,rooftop,7809,Castor Ave,,,Philadelphia,PA,Philadelphia County,19152,US,Philadelphia
RHAWNHURST SCHOOL,7809 CASTOR AVE,A,L,19152,40.058495,-75.057735,1,rooftop,7809,Castor Ave,,,Philadelphia,PA,Philadelphia County,19152,US,Philadelphia
RHAWNHURST SCHOOL,7809 CASTOR AVE,A,L,19152,40.058495,-75.057735,1,rooftop,7809,Castor Ave,,,Philadelphia,PA,Philadelphia County,19152,US,Philadelphia
RHAWNHURST SCHOOL,7809 CASTOR AVE,A,L,19152,40.058495,-75.057735,1,rooftop,7809,Castor Ave,,,Philadelphia,PA,Philadelphia County,19152,US,Philadelphia
RHAWNHURST SCHOOL,7809 CASTOR AVE,A,L,19152,40.058495,-75.057735,1,rooftop,7809,Castor Ave,,,Philadelphia,PA,Philadelphia County,19152,US,Philadelphia
PELBANO RECREATION CENTER,8101 BUSTLETON AVE,M,H,19152,40.061384,-75.050284,1,rooftop,8101,Bustleton Ave,,,Philadelphia,PA,Philadelphia County,19152,US,Philadelphia
TACONY ACADEMY CHARTER SCHOOL,1330 RHAWN ST,A,L,19111,40.066842,-75.065984,1,rooftop,1330,Rhawn St,,,Philadelphia,PA,Philadelphia County,19111,US,Philadelphia
PELBANO RECREATION CENTER,8101 BUSTLETON AVE,M,H,19152,40.061384,-75.050284,1,rooftop,8101,Bustleton Ave,,,Philadelphia,PA,Philadelphia County,19152,US,Philadelphia
PELBANO RECREATION CENTER,8101 BUSTLETON AVE,M,H,19152,40.061384,-75.050284,1,rooftop,8101,Bustleton Ave,,,Philadelphia,PA,Philadelphia County,19152,US,Philadelphia
FARRELL SCHOOL,8300 CASTOR AVE,A,L,19152,40.066572,-75.052415,1,rooftop,8300,Castor Ave,,,Philadelphia,PA,Philadelphia County,19152,US,Philadelphia
FARRELL SCHOOL,8300 CASTOR AVE,A,L,19152,40.066572,-75.052415,1,rooftop,8300,Castor Ave,,,Philadelphia,PA,Philadelphia County,19152,US,Philadelphia
FARRELL SCHOOL,8300 CASTOR AVE,A,L,19152,40.066572,-75.052415,1,rooftop,8300,Castor Ave,,,Philadelphia,PA,Philadelphia County,19152,US,Philadelphia
FARRELL SCHOOL,8300 CASTOR AVE,A,L,19152,40.066572,-75.052415,1,rooftop,8300,Castor Ave,,,Philadelphia,PA,Philadelphia County,19152,US,Philadelphia
FARRELL SCHOOL,8300 CASTOR AVE,A,L,19152,40.066572,-75.052415,1,rooftop,8300,Castor Ave,,,Philadelphia,PA,Philadelphia County,19152,US,Philadelphia
FARRELL SCHOOL,8300 CASTOR AVE,A,L,19152,40.066572,-75.052415,1,rooftop,8300,Castor Ave,,,Philadelphia,PA,Philadelphia County,19152,US,Philadelphia
FARRELL SCHOOL,8300 CASTOR AVE,A,L,19152,40.066572,-75.052415,1,rooftop,8300,Castor Ave,,,Philadelphia,PA,Philadelphia County,19152,US,Philadelphia
AMERICAN LEGION POST 810,9151 OLD NEWTOWN RD,M,L,19115,40.076516,-75.038935,1,rooftop,9151,Old Newtown Rd,,,Philadelphia,PA,Philadelphia County,19115,US,Philadelphia
AMERICAN LEGION POST 810,9151 OLD NEWTOWN RD,M,L,19115,40.076516,-75.038935,1,rooftop,9151,Old Newtown Rd,,,Philadelphia,PA,Philadelphia County,19115,US,Philadelphia
AMERICAN LEGION POST 810,9151 OLD NEWTOWN RD,M,L,19115,40.076516,-75.038935,1,rooftop,9151,Old Newtown Rd,,,Philadelphia,PA,Philadelphia County,19115,US,Philadelphia
PELBANO RECREATION CENTER,8101 BUSTLETON AVE,M,H,19152,40.061384,-75.050284,1,rooftop,8101,Bustleton Ave,,,Philadelphia,PA,Philadelphia County,19152,US,Philadelphia
NORTHEAST HIGH SCHOOL,1601 COTTMAN AVE,M,L,19111,40.056815,-75.069779,1,rooftop,1601,Cottman Ave,,,Philadelphia,PA,Philadelphia County,19111,US,Philadelphia
VALMONT TOWERS CONDOS,7600 ROOSEVELT BLVD,F,L,19152,40.050609,-75.051496,1,range_interpolation,7600,Roosevelt Blvd,,,Philadelphia,PA,Philadelphia County,19152,US,TIGER/Line® dataset from the US Census Bureau
AMERICAN LEGION POST 810,9151 OLD NEWTOWN RD,M,L,19115,40.076516,-75.038935,1,rooftop,9151,Old Newtown Rd,,,Philadelphia,PA,Philadelphia County,19115,US,Philadelphia
RHAWNHURST PRESBYTERIAN CHURCH,7701 LORETTO AVE,M,L,19111,40.057911,-75.06192,0.99,rooftop,7701-17,Loretto Ave,,,Philadelphia,PA,Philadelphia County,19111,US,Philadelphia
RHAWNHURST SCHOOL,7809 CASTOR AVE,A,L,19152,40.058495,-75.057735,1,rooftop,7809,Castor Ave,,,Philadelphia,PA,Philadelphia County,19152,US,Philadelphia
ST REGIS APARTMENTS,2301 TREMONT ST,M,L,19115,40.074212,-75.037199,1,rooftop,2301,Tremont St,,,Philadelphia,PA,Philadelphia County,19115,US,Philadelphia
AMERICAN LEGION POST 810,9151 OLD NEWTOWN RD,M,L,19115,40.076516,-75.038935,1,rooftop,9151,Old Newtown Rd,,,Philadelphia,PA,Philadelphia County,19115,US,Philadelphia
VALMONT TOWERS CONDOS,7600 ROOSEVELT BLVD,F,L,19152,40.050609,-75.051496,1,range_interpolation,7600,Roosevelt Blvd,,,Philadelphia,PA,Philadelphia County,19152,US,TIGER/Line® dataset from the US Census Bureau
AMERICAN LEGION POST 810,9151 OLD NEWTOWN RD,M,L,19115,40.076516,-75.038935,1,rooftop,9151,Old Newtown Rd,,,Philadelphia,PA,Philadelphia County,19115,US,Philadelphia
PENN CRISP GYM,9151 ACADEMY RD,M,L,19114,40.055958,-75.008897,1,rooftop,9151,Academy Rd,,,Philadelphia,PA,Philadelphia County,19114,US,Philadelphia
AVIATION INSTITUTE,3001 GRANT AVE,F,L,19114,40.072221,-75.013125,1,range_interpolation,3001,Grant Ave,,,Philadelphia,PA,Philadelphia County,19114,US,TIGER/Line® dataset from the US Census Bureau
THOMAS HOLME SCHOOL,9125 ACADEMY RD,M,H,19114,40.055925,-75.009934,1,rooftop,9125,Academy Rd,,,Philadelphia,PA,Philadelphia County,19114,US,Philadelphia
WELSH RD BRANCH LIBRARY,9233 ROOSEVELT BLVD,F,L,19114,40.074635,-75.03422,1,range_interpolation,9233,Roosevelt Blvd,,,Philadelphia,PA,Philadelphia County,19114,US,TIGER/Line® dataset from the US Census Bureau
WELSH RD BRANCH LIBRARY,9233 ROOSEVELT BLVD,F,L,19114,40.074635,-75.03422,1,range_interpolation,9233,Roosevelt Blvd,,,Philadelphia,PA,Philadelphia County,19114,US,TIGER/Line® dataset from the US Census Bureau
